Serial No,Stage,Categories,Tags,Explanation
67,Interpretation,Power of Words,Misleading Claim,Making a claim supported by misinterpreted or manipulated data.
69,Interpretation,Power of Words,Misleading Title,"Using a title that does not match the data presented, leading to false interpretations."
70,Interpretation,Power of Words,Misleading Value Labels,Value labels that misrepresent the true data proportions.
40,Plotting,Inconsistency,Misrepresentation,Drawing data values disproportionately or not to scale.
51,Plotting,Chaotic Canvas,Missing Abbreviation,"Failing to use abbreviations, making the text unnecessarily long."
37,Plotting,Incomplete Chart,Missing Axis,"Omitting the axis, making it impossible to gauge values accurately."
38,Plotting,Incomplete Chart,Missing Axis Ticks,"Leaving out tick marks, leading to difficulties in reading specific values."
34,Plotting,Incomplete Chart,Missing Axis Title,"Omitting titles for the axes, making their meaning ambiguous."
35,Plotting,Incomplete Chart,Missing Legend,"Failing to include a legend, leaving visual marks without explanation."
7,Input,Lie with Statistics,Missing Normalization,"Failing to adjust data for meaningful comparison, such as not using per capita values in population comparisons."
33,Plotting,Incomplete Chart,Missing Title,"Omitting the chart title, leaving readers unclear about the visualization's subject."
39,Plotting,Incomplete Chart,Missing Units," Omitting units of measurement, causing confusion about the scale."
36,Plotting,Incomplete Chart,Missing Value Labels," Not labeling values, making it hard to understand the data points."
26,Visualization Design,Choice of Chart,Misusing Circular Layout,Inappropriate use of curved bars or lines.
4,Input,Garbage-In,Non Sequitur,"Visuals that do not logically follow from the data, often used for decoration rather than meaningful information."
1,Input,Garbage-In,Not Data,"Visualizations drawn to illustrate concepts rather than actual data, which may be mistaken as data-driven by readers."
72,Interpretation,Hidden Information,Overplotting,"Placing multiple data points in the same position, hiding some of them."
30,Visualization Design,Color Mess,Overusing Colors,Overwhelming the reader with too many colors.
66,Interpretation,False Linkage,Pattern Seeking,"Finding patterns in historical data that may not predict future events, leading to false conclusions."
58,Perception,Visual Illusion,Pictorial Area Encoding,"Similar to area encoding, but using pictorial representations, which also mislead due to non-linear perception."
50,Plotting,Chaotic Canvas,Plotting Error,"Errors in drawing the chart, resulting from software bugs or other issues."
52,Plotting,Chaotic Canvas,Plotting Out of Chart,"Plotting data points beyond the axis range, making them invisible or misleading."
10,Input,Lie with Statistics,Questionable Prediction,"Making future projections without a clear basis, leading to potentially misleading conclusions."
2,Input,Garbage-In,Selective Data,Cherry-picking data to support a specific narrative.
63,Perception,Visual Illusion,Sine Illusion,Optical illusions that distort the perception of data patterns.
5,Input,Garbage-In,Too Few Data Points,"Creating a misleading impression by connecting insufficient data points, such as forming a line chart from just two points."
11,Input,Lie with Statistics,Trend Line on Random Data,"Drawing a regression line through weakly correlated data, suggesting a trend where there is none."
15,Visualization Design,Choice of Axis,Truncated Axis,Cutting off parts of the axis to exaggerate or understate trends.
14,Input,Lie with Statistics,Two-Way Normalization,"Applying normalization to a two-way table arbitrarily, distorting the interpretation of the data."
44,Plotting,Inconsistency,Violating Color Convention,"Using colors contrary to standard conventions, leading to misinterpretation."
